source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_malibu,SL_aua,SL_zvartnoc,SL_dalma,SL_yerevan_mall,SL_shumyan_cemetery,SL_nork_cemetery,SL_central_cemetery,SL_davtashen_cemetery,SL_zeytun_cemetery,SL_yerablur,SL_avan_cemetery,SL_baghramyan_subway,SL_shengavit_subway,SL_barekamutyun_subway,SL_yeritasardakan_subway,SL_zoravar_subway,SL_sasunci_subway,SL_gorcarain_subway,SL_gergin_subway,SL_charbakh_subway,SL_avan,SL_massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d117567,76375.0,65.0,3.0,5.0,6.0,1.0,0,0,0,1,0,0,0,0,44.516998291016,40.180500030518,1,0,0,0,1,0,0,0,"(40.180500030518, 44.516998291016)",632,816,1701,10383,2429,3123,5519,2877,3790,5832,4332,5872,5707,2711,4760,2612,680,1110,2998,4652,4450,5914,7014,4292,16,7,22,2,8,8,16,0,0,2,0,0,0,1,0,0,0,0
bnakaran,d98093,173600.0,124.0,3.0,6.0,14.0,1.0,1,0,0,1,0,0,0,0,44.512479830349,40.185627192379,1,0,0,0,1,0,0,0,"(40.185627192379, 44.512479830349)",225,476,1017,10211,2165,3511,4974,3021,4476,5145,4134,5787,5736,2047,5060,1943,632,1602,3479,5091,4676,6122,7006,4884,15,7,23,2,5,6,4,5,0,3,2,0,1,2,0,1,0,0
bnakaran,d117574,219000.0000000001,74.0,2.0,2.0,5.0,1.0,0,0,0,1,0,1,0,0,44.512879,40.17787,0,0,0,1,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d117575,219000.0000000001,74.0,3.0,2.0,5.0,1.0,0,0,0,1,0,1,0,0,44.512879,40.17787,0,0,0,1,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d115762,225000.0,78.0,3.0,3.0,9.0,1.0,0,0,0,0,0,0,0,0,44.505216,40.181356,0,0,1,0,1,0,0,0,"(40.181356, 44.505216)",985,302,1233,9466,1445,2913,4557,3754,4442,5228,4906,5016,6505,2015,4373,1936,1358,1272,2979,4514,3950,5382,7781,4519,9,8,16,4,2,7,7,2,0,2,0,1,1,2,0,1,0,0
bnakaran,d117225,104000.0,65.0,2.0,5.0,6.0,2.0,0,0,1,0,0,0,0,0,44.506099700928,40.180099487305,0,0,0,1,1,0,0,0,"(40.180099487305, 44.506099700928)",1006,366,1378,9490,1502,2787,4684,3734,4287,5386,4953,5016,6510,2174,4273,2095,1354,1113,2836,4385,3867,5307,7794,4366,9,11,20,5,2,6,9,2,0,2,1,1,1,3,0,1,0,0
bnakaran,d116346,190000.0,100.0,3.0,5.0,21.0,1.0,1,0,0,0,0,0,0,0,44.520288814819,40.183514892486,1,0,0,0,1,0,0,0,"(40.183514892486, 44.520288814819)",520,1046,1670,10754,2748,3549,5677,2477,3966,5737,3898,6265,5287,2720,5194,2613,301,1531,3402,5064,4886,6350,6589,4631,18,5,30,2,8,9,12,0,0,3,2,0,2,0,0,4,0,0
bnakaran,d117569,68000.0,68.0,2.0,10.0,17.0,1.0,1,0,0,0,0,0,0,0,44.499404,40.203477,1,0,0,0,1,0,0,0,"(40.203477, 44.499404)",2356,2384,1301,10148,2865,5346,3715,4195,6750,2897,4097,6252,6210,842,6612,816,2590,3747,5474,6939,6082,7388,7267,7026,4,16,11,3,3,0,3,2,0,2,0,1,0,1,0,1,0,0
bnakaran,d117426,91000.0,70.0,2.0,4.0,6.0,1.0,1,0,0,0,0,1,0,0,44.493461129333,40.19580972761,1,0,0,0,1,0,0,0,"(40.19580972761, 44.493461129333)",2136,1879,1006,9262,1905,4532,3172,4541,6320,3345,4846,5273,6856,161,5695,183,2485,3162,4727,6102,5143,6420,7990,6346,18,8,16,3,11,3,3,1,0,0,0,0,0,2,0,1,0,0
bnakaran,d117218,450000.0,105.0,4.0,2.0,6.0,1.0,1,0,0,0,0,0,0,0,44.513763239425,40.191315556553,1,0,0,0,0,0,1,0,"(40.191315556553, 44.513763239425)",601,1040,799,10556,2542,4149,4944,2810,4985,4718,3620,6218,5366,1820,5678,1709,769,2238,4120,5732,5272,6706,6597,5506,1,1,2,0,0,2,2,0,0,1,0,0,1,3,0,0,0,0
