source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
118,bars,1-B-75,8000.0,125.0,3.0,6.0,9.0,2.0,0,1,1,0,1,1,0,1,44.55827345658594,40.199176396159615,0,1,0,0,1,0,0,0
119,bars,1-3-2117,3333.3333333333335,120.0,3.0,2.0,4.0,1.0,0,0,0,1,1,1,0,0,44.512115310889925,40.18645225816211,0,1,0,0,1,0,0,0
120,bars,1-3-1730,3743.3155080213905,187.0,4.0,2.0,4.0,2.0,0,1,0,1,1,1,0,0,44.50603348930943,40.19194689069822,0,1,0,0,1,0,0,0
121,bars,6-О-117,1029.4117647058824,102.0,4.0,5.0,5.0,1.0,0,0,0,0,1,1,0,0,44.47143471084086,40.20656139447395,0,0,0,1,1,0,0,0
122,bars,1-B-118,5789.473684210527,190.0,4.0,14.0,17.0,2.0,0,0,1,1,1,1,0,1,44.51863665459219,40.17606564344017,0,1,0,0,1,0,0,0
123,bars,6-Z3-260,2771.0843373493976,83.0,3.0,6.0,12.0,1.0,0,1,0,1,1,1,0,1,44.54016340378585,40.204839367697545,0,0,1,0,1,0,0,0
124,bars,1-3-2116,3000.0,80.0,3.0,3.0,4.0,1.0,0,0,0,0,0,0,0,0,44.51181945133735,40.183313571671,0,1,0,0,0,1,0,0
125,bars,4-3-1398,2187.5,80.0,3.0,3.0,5.0,1.0,0,1,0,1,0,1,0,0,44.52065838607332,40.21056281413444,0,0,0,1,1,0,0,0
126,bars,1-3-2115,3375.0,80.0,3.0,3.0,4.0,1.0,0,1,0,1,0,1,0,0,44.499472776670245,40.180107053322125,0,1,0,0,1,0,0,0
127,bars,4-3-1397,2064.102564102564,78.0,3.0,4.0,6.0,1.0,0,0,0,0,0,1,0,0,44.50603348930943,40.19194689069822,0,1,0,0,0,1,0,0
128,bars,1-3-2112,1780.952380952381,105.0,4.0,4.0,16.0,1.0,0,0,0,0,0,0,0,1,44.4201581,40.18735935,0,0,1,0,1,0,0,0
129,bars,1-3-2113,2727.2727272727275,176.0,5.0,2.0,5.0,3.0,0,0,0,1,0,1,0,0,44.52011953345346,40.17752762983332,0,1,0,0,1,0,0,0
130,bars,1-3-2111,1687.5,80.0,3.0,6.0,9.0,1.0,0,0,0,0,0,1,0,1,44.50603348930943,40.19194689069822,0,0,1,0,1,0,0,0
131,bars,4-3-1395,2524.590163934426,61.0,3.0,1.0,5.0,1.0,0,0,0,1,0,0,0,0,44.499437857296144,40.19210576699806,0,0,0,1,1,0,0,0
132,bars,1-2-988,5975.0,40.0,2.0,2.0,22.0,1.0,0,1,0,1,0,0,0,1,44.51166722152143,40.182206184659805,0,1,0,0,1,0,0,0
133,bars,4-3-13944,1477.6119402985075,335.0,5.0,9.0,9.0,3.0,0,0,0,0,1,1,0,1,44.55827345658594,40.199176396159615,0,1,0,0,1,0,0,0
134,bars,1-S-70,5187.5,160.0,4.0,7.0,9.0,2.0,0,1,0,0,1,1,0,1,44.434781436092,40.14165398792,0,1,0,0,1,0,0,0
135,bars,1-S-62,5633.802816901409,142.0,3.0,2.0,8.0,2.0,0,0,1,1,1,1,0,1,44.434781436092,40.14165398792,0,1,0,0,1,0,0,0
136,bars,1-3-1531,7444.444444444444,90.0,3.0,4.0,4.0,1.0,0,1,0,0,1,1,0,0,44.5215976,40.18607885,0,1,0,0,1,0,0,0
137,bars,1-3-205,2670.807453416149,161.0,5.0,4.0,5.0,2.0,0,1,0,1,1,0,0,0,44.51808492499669,40.187096641397815,0,1,0,0,1,0,0,0
138,bars,4-3-1285,1948.051948051948,77.0,3.0,5.0,5.0,1.0,0,0,0,0,0,1,0,0,44.509269992836,40.20967865714541,0,0,0,1,1,0,0,0
139,bars,4-3-1367,3346.7741935483873,124.0,3.0,6.0,14.0,2.0,0,1,1,1,1,1,0,1,44.499437857296144,40.19210576699806,0,1,0,0,1,0,0,0
140,bars,1-2-736,2051.2820512820513,78.0,2.0,1.0,6.0,1.0,0,1,0,0,0,1,0,1,44.5273774,40.17699785,0,1,0,0,1,0,0,0
141,bars,4-3-1385,1532.5670498084291,78.3,3.0,1.0,9.0,1.0,0,0,0,0,0,1,0,1,44.52026531166853,40.1995721688172,0,0,1,0,0,1,0,0
142,bars,1-N-311,4571.428571428572,70.0,3.0,12.0,14.0,1.0,0,1,1,1,1,1,0,1,44.514048989347714,40.1861605885798,0,1,0,0,1,0,0,0
143,bars,1-3-1515,2631.5789473684213,209.0,5.0,4.0,4.0,3.0,0,0,0,0,0,0,0,0,44.517821617617976,40.17743184144194,0,1,0,0,1,0,0,0
144,bars,1-3-2109,3555.5555555555557,90.0,3.0,2.0,5.0,1.0,0,1,0,1,0,0,0,0,44.514048989347714,40.1861605885798,0,0,0,1,0,0,0,1
145,bars,1-3-859,2955.5555555555557,90.0,3.0,8.0,10.0,1.0,0,1,0,1,1,1,0,1,44.505052000470215,40.183781674798254,0,0,1,0,0,0,0,1
146,bars,1-3-2070,2074.688796680498,241.0,7.0,4.0,4.0,2.0,0,0,0,1,1,1,0,1,44.512115310889925,40.18645225816211,0,1,0,0,1,0,0,0
147,bars,1-3-1613,2866.2420382165606,157.0,4.0,3.0,4.0,1.0,0,0,0,0,0,1,0,0,44.51181945133735,40.183313571671,0,1,0,0,1,0,0,0
148,bars,1-3-323,1333.3333333333333,300.0,6.0,4.0,4.0,2.0,0,0,0,0,1,1,0,0,44.519048808509375,40.177015330930764,0,1,0,0,1,0,0,0
149,bars,1-3-346,5000.0,90.0,3.0,4.0,5.0,1.0,0,0,0,1,1,0,0,0,44.514048989347714,40.1861605885798,0,1,0,0,1,0,0,0
150,bars,1-3-883,3098.958333333333,115.2,4.0,5.0,5.0,1.0,0,0,0,0,1,0,0,0,44.514048989347714,40.1861605885798,0,0,0,1,1,0,0,0
151,bars,1-3-985,2250.0,120.0,4.0,5.0,5.0,1.0,0,0,0,0,1,0,0,0,44.5180200101794,40.18203709652422,0,0,0,1,0,1,0,0
152,bars,1-S-72,8823.529411764706,170.0,3.0,10.0,5.0,3.0,0,1,1,1,1,1,1,1,44.434781436092,40.14165398792,0,1,0,0,0,0,0,1
