,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
96,myrealty,142296,185000,60,2,3,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.514048989347714,40.1861605885798
97,myrealty,142292,230000,113,3,5,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.5129618594638,40.19399679221862
98,myrealty,142291,370000,103,3,5,13,Monolit,New/Excellent Condition,2,1,0,1,1,0,1,0,1,44.4972968,40.20489739999999
99,myrealty,142290,229000,81,4,4,5,Stone,Good Condition,1,0,0,1,1,0,1,0,1,44.505052000470215,40.183781674798254
100,myrealty,142288,267000,62,2,5,18,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.50439786901182,40.18091474247
101,myrealty,142279,70000,49,2,6,14,Monolit,Needs Renovation/Repair,1,1,0,0,0,0,0,0,0,44.44610884211748,40.174334819908324
102,myrealty,142274,310000,109,3,6,18,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.51811462379455,40.166993360178346
103,myrealty,142272,160000,71,3,7,14,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485
104,myrealty,142267,242500,51,2,8,15,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764
105,myrealty,142262,305000,122,3,8,15,Monolit,New/Excellent Condition,2,1,0,0,1,0,1,0,1,44.52706263472466,40.205140244623664
106,myrealty,142260,390000,156,3,13,16,Monolit,New/Excellent Condition,1,1,0,0,1,0,1,0,1,44.48439985,40.14520375
107,myrealty,142259,87000,54,2,14,18,Monolit,Needs Renovation/Repair,1,1,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485
108,myrealty,142258,140000,55,2,8,16,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.46234708546167,40.1906722427931
109,myrealty,142238,170000,60,2,6,12,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.482691873318714,40.181589956787796
110,myrealty,142209,76000,39,1,2,5,Stone,Needs Renovation/Repair,1,0,0,0,1,0,0,0,0,44.52432870986529,40.20080526689522
111,myrealty,142204,210000,89,3,11,16,Monolit,New/Excellent Condition,2,0,1,1,1,0,1,0,1,44.4790618,40.2134186
112,myrealty,142198,950000,140,3,4,16,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.51959732658925,40.20241187184684
113,myrealty,142189,188000,39,1,5,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.51642634119875,40.18161375666288
114,myrealty,142163,275000,75,3,1,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.505052000470215,40.183781674798254
115,myrealty,142160,156000,81,3,4,9,Panel,New/Excellent Condition,1,0,1,1,1,0,1,1,1,44.49633619872418,40.22328636163789
116,myrealty,142137,340000,85,3,4,4,Stone,Good Condition,1,0,0,1,1,0,1,0,1,44.5180200101794,40.18203709652422
117,myrealty,142134,227000,81,3,5,5,Stone,Good Condition,1,0,0,0,0,0,0,0,0,44.514048989347714,40.1861605885798
118,myrealty,142133,600000,180,4,5,5,Stone,New/Excellent Condition,2,0,0,0,0,0,0,0,0,44.514048989347714,40.1861605885798
119,myrealty,142124,110000,36,1,11,14,Monolit,New/Excellent Condition,1,1,0,0,1,0,1,0,1,44.50409202665325,40.17429211194108
120,myrealty,142117,310000,108,4,2,5,Stone,Good Condition,1,0,0,1,1,0,1,0,0,44.51642634119875,40.18161375666288
121,myrealty,142112,360000,103,3,9,12,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.499155086504345,40.19562050194883
122,myrealty,142110,76000,44,2,7,9,Panel,Good Condition,1,0,1,0,0,0,0,0,1,44.49141207406966,40.19293930149094
123,myrealty,142108,615000,99,3,4,14,Monolit,Needs Renovation/Repair,2,1,1,0,0,1,0,0,0,44.51959732658925,40.20241187184684
124,myrealty,142077,210000,89,3,11,16,Monolit,New/Excellent Condition,2,1,1,1,0,0,0,0,0,44.4790618,40.2134186
125,myrealty,142076,225000,83,3,5,10,Panel,Good Condition,1,0,1,0,1,0,1,0,0,44.51181945133735,40.183313571671
126,myrealty,142050,430000,89,3,10,10,Monolit,New/Excellent Condition,2,0,1,1,1,0,1,0,1,44.525275644939626,40.18489525304254
127,myrealty,142037,90000,60,3,1,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.465297969928955,40.20902734145039
128,myrealty,142036,400000,77,3,4,10,Monolit,New/Excellent Condition,2,1,0,0,0,0,0,0,0,44.51488777979646,40.16624129129846
129,myrealty,142015,310000,81,3,4,9,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.51959732658925,40.20241187184684
130,myrealty,142004,155000,80,3,2,5,Stone,Good Condition,1,0,0,0,0,0,0,0,0,44.50264037003831,40.20040397660547
131,myrealty,141960,235000,77,3,4,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.51240035,40.1775186
132,myrealty,141959,310000,130,4,6,14,Monolit,Good Condition,2,1,0,0,0,0,0,0,0,44.50777117033231,40.21015348895229
133,myrealty,141958,450000,124,3,5,18,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,0,44.489355959454166,40.21403837276494
134,myrealty,141949,450000,124,3,8,15,Monolit,New/Excellent Condition,3,0,1,1,1,0,1,0,1,44.489355959454166,40.21403837276494
135,myrealty,141931,235000,76,3,7,14,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.499155086504345,40.19562050194883
136,myrealty,141918,82000,46,2,4,10,Panel,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.540113895211135,40.20184705758445
137,myrealty,141917,240000,45,2,6,15,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.51959732658925,40.20241187184684
138,myrealty,141914,86500,47,1,3,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.520265311668524,40.1995721688172
139,myrealty,141888,1117000,203,4,17,21,Monolit,Good Condition,3,0,1,0,1,0,0,0,0,44.583870697678144,40.21673211791397
140,myrealty,141883,236000,83,3,5,7,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.53194205401087,40.16157204361941
141,myrealty,141851,165000,54,2,3,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.48842560030741,40.19502146089586
142,myrealty,141848,235000,65,2,14,16,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.4972968,40.20489739999999
