,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude
367,bars,1-N-379,185000,135.0,4.0,4.0,12.0,Other,Good Condition,2.0,0,0,0,0,0,1,0,1,44.5247969,40.17890785
368,bars,1-N-394,145000,79.0,3.0,5.0,5.0,Other,Good Condition,2.0,0,1,0,1,0,1,0,0,44.5180200101794,40.18203709652422
369,bars,1-N-367,390000,178.0,4.0,12.0,14.0,Other,Good Condition,3.0,0,1,0,0,1,1,0,1,44.50409202665325,40.17429211194108
370,bars,2-2-275,75000,46.0,2.0,2.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.51344849450384,40.1767382062846
371,bars,6-Ts3-78,290000,115.0,3.0,5.0,13.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.482691873318714,40.181589956787796
372,bars,1-3-2074,185000,85.0,3.0,8.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,1,0,0,1,44.51181945133735,40.183313571671
373,bars,1-3-2073,183000,81.0,3.0,8.0,10.0,Monolit,Needs Renovation/Repair,1.0,0,0,0,1,0,0,0,1,44.525275644939626,40.18489525304254
374,bars,1-3-2072,280000,102.0,4.0,4.0,4.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.5273774,40.17699785
375,bars,1-3-1903,145000,92.5,3.0,6.0,6.0,Other,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.45609932611657,40.15477242139723
376,bars,1-1-436,140000,40.0,1.0,11.0,11.0,Panel,Good Condition,1.0,0,0,0,1,0,1,0,1,44.505052000470215,40.183781674798254
377,bars,1-A-106,245000,75.0,2.0,2.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,0,0,1,44.51228432718437,40.19590302536037
378,bars,1-B-111,600000,133.0,4.0,11.0,14.0,Other,Needs Renovation/Repair,2.0,0,0,0,0,1,0,0,1,44.51863665459219,40.17606564344017
379,bars,2-3-167,330000,130.0,4.0,5.0,10.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.51811462379455,40.166993360178346
380,bars,2-3-90,152000,96.0,3.0,8.0,9.0,Panel,Good Condition,1.0,0,1,0,1,0,1,0,1,44.519038948459674,40.17136765837956
381,bars,2-2-252,110000,49.0,2.0,1.0,5.0,Stone,Good Condition,1.0,0,1,0,0,1,1,0,0,44.519038948459674,40.17136765837956
382,bars,4-3-1331,125000,96.0,3.0,7.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,1,44.49091100920923,40.204181641463855
383,bars,1-A-104,358000,121.0,3.0,3.0,6.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,1,44.51228432718437,40.19590302536037
384,bars,2-2-277,182000,84.0,2.0,18.0,21.0,Other,Good Condition,2.0,0,0,0,1,1,1,0,1,44.482691873318714,40.181589956787796
385,bars,1-1-352,80000,32.0,1.0,5.0,5.0,Other,Other,1.0,0,0,0,0,0,0,0,0,44.52311939810804,40.18877081913275
386,bars,1-3-2069,765000,170.0,5.0,5.0,6.0,Other,Good Condition,3.0,0,1,0,1,1,1,0,0,44.517821617617976,40.177431841441944
