,source,id,price,area,rooms,floor,storeys,building_type,latitude,longitude,new_building,condition,bathroom_count,F_Security,F_Elevator,F_Heating System,F_Internet,F_Balcony,F_Furniture,F_Air Conditioner
295,bnakaran,d117862,1000.0,55,2,6,14,Monolit,44.519952099197,40.175659468835,1,Good Condition,1,1,0,0,0,0,0,0
296,bnakaran,d117863,1000.0,60,2,4,14,Monolit,44.520048658721,40.175478411208,1,Good Condition,1,1,0,0,0,0,0,0
297,bnakaran,d107434,900.0,40,2,7,10,Panel,44.507696,40.179500579834,0,New/Excellent Condition,1,0,0,0,0,0,0,0
298,bnakaran,d111508,320000.0,118,4,7,18,Monolit,44.486566694442,40.199915866501,1,Good Condition,2,0,0,0,0,0,0,0
299,bnakaran,d117138,1500.0,85,3,5,8,Other,44.509983797622,40.200067104726,1,New/Excellent Condition,2,0,0,0,0,0,0,0
300,bnakaran,d110125,170000.0,66,3,8,9,Panel,44.49678651457,40.201189733957,0,Good Condition,1,0,0,0,0,0,0,1
301,bnakaran,d110733,105000.0,40,2,4,5,Stone,44.500746642851,40.20601265754,0,New/Excellent Condition,1,0,0,0,0,0,0,1
302,bnakaran,d112460,175000.0,70,3,7,9,Panel,44.518074128523,40.177826323083,0,Good Condition,1,0,0,0,0,0,0,0
303,bnakaran,d112991,110000.0,43,2,3,10,Panel,44.5064375238,40.206337721309,0,New/Excellent Condition,2,0,0,0,0,0,0,1
304,bnakaran,d105323,140000.0,33,2,2,5,Stone,44.503700256348,40.177898406982,0,New/Excellent Condition,1,0,0,0,0,0,0,0
305,bnakaran,d115790,750000.0,140,4,10,15,Monolit,44.50783,40.188632,1,Good Condition,3,0,0,0,0,0,0,1
306,bnakaran,d108949,117000.0,84,3,4,5,Stone,44.469027287032,40.208844098202,0,Good Condition,1,0,0,0,0,0,0,1
307,bnakaran,d117434,1300000.0,160,4,6,10,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
308,bnakaran,d117915,297000.0,122,3,8,15,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
309,bnakaran,d116788,205000.0,71,3,2,5,Stone,44.502351235442,40.179513738459,0,Good Condition,1,0,0,0,0,0,0,1
310,bnakaran,d117390,143000.0,77,3,2,9,Panel,44.487247283293,40.221408669649,0,New/Excellent Condition,1,0,0,0,0,0,0,1
311,bnakaran,d116333,300000.0,129,4,6,8,Monolit,44.522924084656,40.213436935609,1,Good Condition,2,0,0,0,0,0,0,0
312,bnakaran,d116423,170000.0,67,3,10,14,Monolit,44.512879,40.17787,1,Good Condition,1,0,0,0,0,0,0,1
313,bnakaran,d117913,130000.0,85,3,5,5,Stone,44.482444305557,40.152102284194,0,Good Condition,1,0,0,0,0,0,0,1
314,bnakaran,d116450,3000.0,170,4,3,10,Monolit,44.509422866409,40.179510611134,1,Good Condition,3,1,0,0,0,0,0,1
315,bnakaran,d103247,340000.0,150,4,3,18,Monolit,44.516460324081,40.203668475571,1,Good Condition,2,1,0,0,0,0,0,1
316,bnakaran,d114919,1200000.0,158,3,8,14,Monolit,44.514613,40.182121,0,Good Condition,3,0,0,0,0,0,0,1
