source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,139109,595000.0,118.0,3.0,8.0,12.0,2.0,1,1,0,0,0,1,0,0,44.51642634119875,40.18161375666288,1,0,0,0,0,0,1,0,"(40.18161375666288, 44.51642634119875)",500,734,1574,10375,2392,3213,5431,2864,3922,5703,4260,5879,5678,2592,4837,2491,589,1210,3104,4754,4513,5976,6978,4417,20,5,31,3,6,10,20,0,0,2,2,0,0,1,0,0,0,0
myrealty,132028,215000.00000000003,70.0,3.0,6.0,11.0,2.0,0,1,0,1,0,1,1,1,44.51166722152143,40.182206184659805,0,0,1,0,0,0,1,0,"(40.182206184659805, 44.51166722152143)",512,326,1291,10014,2001,3128,5028,3208,4189,5420,4462,5544,5984,2259,4691,2163,828,1222,3093,4705,4321,5774,7270,4514,11,10,16,6,5,5,12,4,0,4,0,1,1,5,0,4,0,0
bars,1-3-2100,170000.0,98.0,3.0,12.0,16.0,1.0,0,0,1,0,0,0,0,1,44.5273774,40.17699785,0,0,1,0,0,1,0,0,"(40.17699785, 44.5273774)",1446,1779,2595,11125,3314,3314,6482,2410,3073,6680,4253,6565,5274,3634,5017,3530,1206,1442,3025,4680,4823,6276,6605,3983,0,1,2,0,0,4,1,0,1,5,0,0,3,1,0,0,0,0
bnakaran,d117394,110000.0,100.0,3.0,7.0,15.0,2.0,0,0,0,0,0,0,0,0,44.506882357147,40.184571825636,0,0,1,0,1,0,0,0,"(40.184571825636, 44.506882357147)",715,192,897,9725,1679,3288,4557,3511,4637,4983,4556,5319,6212,1795,4757,1704,1119,1551,3332,4887,4332,5759,7473,4838,4,5,6,4,4,9,5,5,1,2,3,0,1,2,0,3,0,0
myrealty,142504,105000.0,80.0,3.0,1.0,5.0,1.0,0,0,0,0,1,1,1,0,44.4684631,40.199323,0,0,0,1,0,0,1,0,"(40.199323, 44.4684631)",4228,3813,3152,7789,2818,5590,1048,6692,8057,2748,6761,4608,8875,2162,6227,2272,4604,4852,5960,6967,5583,6518,9931,7647,1,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0
bnakaran,d29901,768800.0,31.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.498600006104,40.202201843262,0,0,0,1,1,0,0,0,"(40.202201843262, 44.498600006104)",2281,2273,1195,10012,2709,5206,3627,4224,6662,2963,4199,6099,6296,687,6461,658,2535,3632,5342,6797,5929,7232,7367,6904,6,15,12,5,5,0,6,1,0,2,0,1,0,1,0,1,0,0
myrealty,124563,330000.0,140.0,3.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.51002309500625,40.20586486520793,0,0,0,1,0,0,1,0,"(40.20586486520793, 44.51002309500625)",2250,2541,1566,11047,3494,5669,4649,3443,6596,3397,3158,7042,5286,1680,7081,1614,2340,3856,5705,7269,6602,7973,6328,7144,2,4,4,7,6,5,5,0,5,1,0,0,0,2,0,2,0,0
bars,1-3-1645,300000.0,200.0,6.0,3.0,9.0,2.0,0,0,0,0,0,0,0,1,44.51181945133735,40.183313571671,0,0,1,0,1,0,0,0,"(40.183313571671, 44.51181945133735)",407,326,1190,10067,2039,3249,4999,3152,4285,5325,4361,5612,5910,2178,4806,2080,757,1345,3216,4828,4430,5880,7191,4634,7,11,23,5,5,6,11,5,0,4,0,1,1,4,0,5,0,0
myrealty,139334,350000.0,89.0,4.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764,0,0,0,1,1,0,0,0,"(40.177015330930764, 44.519048808509375)",1054,1155,2115,10441,2609,2874,5827,2939,3367,6249,4565,5893,5802,3108,4549,3011,1025,869,2689,4356,4289,5753,7123,3905,3,7,10,2,5,10,5,1,0,2,0,1,0,0,1,0,0,0
myrealty,122618,325000.0,121.0,3.0,4.0,18.0,2.0,1,0,0,0,0,0,0,0,44.499472776670245,40.180107053322125,1,0,0,0,0,0,1,0,"(40.180107053322125, 44.499472776670245)",1479,794,1434,8960,942,2748,4181,4260,4673,5152,5355,4523,7000,1965,4080,1909,1862,1462,2909,4341,3610,5011,8268,4530,0,1,6,2,0,7,1,1,0,2,0,0,0,0,0,2,0,0
