source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,1-N-432,560000.0,156.4,4.0,9.0,17.0,2.0,0,1,1,0,1,1,0,1,44.583870697678144,40.21673211791397,0,1,0,0,1,0,0,0,"(40.21673211791397, 44.583870697678144)",6767,7453,7265,17145,9120,9832,11036,4122,8266,9098,3233,12767,1256,7951,11537,7858,6406,7918,9497,11098,11337,12795,257,10027,0,7,11,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0
bars,4-3-1396,192000.0,67.0,3.0,7.0,14.0,1.0,0,1,0,0,1,1,0,1,44.499155086504345,40.19562050194883,0,1,0,0,1,0,0,0,"(40.19562050194883, 44.499155086504345)",1725,1585,573,9667,2049,4473,3656,4058,6020,3592,4411,5580,6392,490,5750,379,2048,2929,4611,6065,5231,6562,7540,6184,2,7,3,6,5,1,2,2,2,1,0,0,0,2,0,0,0,0
bars,1-3-2002,140000.0,100.0,4.0,4.0,5.0,1.0,0,0,0,0,1,0,0,0,44.514048989347714,40.1861605885798,0,0,0,1,0,1,0,0,"(40.1861605885798, 44.514048989347714)",90,619,1072,10356,2311,3609,5086,2877,4463,5177,4000,5932,5590,2117,5174,2011,495,1668,3557,5181,4798,6248,6861,4932,15,9,32,1,4,4,8,2,0,2,0,0,2,1,0,1,0,0
myrealty,129299,199000.0,66.0,2.0,5.0,14.0,1.0,1,1,0,1,0,1,1,1,44.457979422619005,40.17534841784899,1,0,0,0,0,0,1,0,"(40.17534841784899, 44.457979422619005)",4994,4334,4381,5515,2622,4238,2532,7790,7398,5557,8553,1805,10424,3895,4130,3958,5396,4627,4772,5146,3485,3999,11635,6312,5,2,9,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0
bnakaran,d109414,114000.0,60.0,2.0,13.0,14.0,1.0,1,0,1,0,0,0,0,0,44.510423720058,40.180692384193,1,0,0,0,1,0,0,0,"(40.180692384193, 44.510423720058)",710,334,1400,9859,1874,2936,4992,3370,4111,5507,4658,5374,6162,2320,4492,2230,1011,1063,2914,4517,4123,5576,7453,4361,10,4,14,6,2,8,11,3,0,3,0,2,1,3,0,3,0,0
myrealty,138833,850000.0,143.0,3.0,5.0,15.0,2.0,1,0,0,0,0,0,0,0,44.51863665459219,40.17606564344017,1,0,0,0,0,0,1,0,"(40.17606564344017, 44.51863665459219)",1145,1192,2182,10380,2585,2767,5839,3030,3295,6316,4674,5826,5896,3162,4445,3067,1133,769,2578,4245,4191,5654,7219,3799,2,5,9,1,4,7,2,1,0,2,0,1,1,0,1,0,0,0
myrealty,140621,260000.0,250.0,3.0,1.0,3.0,2.0,1,0,0,0,0,0,0,0,44.50523170804844,40.19493042144863,1,0,0,0,0,1,0,0,"(40.19493042144863, 44.50523170804844)",1298,1340,285,10082,2264,4413,4176,3537,5680,3947,3987,5899,5915,1005,5800,894,1577,2701,4487,6014,5321,6700,7086,5995,1,0,1,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0
bars,4-3-1331,125000.0,96.0,3.0,7.0,9.0,1.0,0,0,0,0,0,0,0,1,44.49091100920923,40.204181641463855,0,0,1,0,0,1,0,0,"(40.204181641463855, 44.49091100920923)",2881,2760,1741,9606,2796,5484,3022,4911,7201,2416,4784,5897,6920,809,6604,877,3169,4085,5682,7048,6033,7259,7953,7297,0,2,0,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0
myrealty,131037,144000.0,99.0,4.0,5.0,5.0,1.0,0,1,0,1,0,1,1,0,44.51002309500625,40.20586486520793,0,0,0,1,1,0,0,0,"(40.20586486520793, 44.51002309500625)",2250,2541,1566,11047,3494,5669,4649,3443,6596,3397,3158,7042,5286,1680,7081,1614,2340,3856,5705,7269,6602,7973,6328,7144,2,4,4,7,6,5,5,0,5,1,0,0,0,2,0,2,0,0
bnakaran,d98282,160000.0,28.0,1.0,12.0,16.0,1.0,1,0,1,0,0,0,0,0,44.511343625301,40.179882450421,1,0,0,0,1,0,0,0,"(40.179882450421, 44.511343625301)",751,453,1512,9905,1946,2874,5100,3336,3992,5625,4677,5406,6144,2439,4450,2348,1010,965,2833,4448,4095,5552,7441,4261,8,3,17,6,3,8,9,3,0,2,0,1,1,3,0,3,0,0
